,ventas_precios_corrientes
0,27858.9
1,25994.2
2,27780.0
3,29134.3
4,27969.0
5,29132.7
6,31182.3
7,31154.9
8,30521.5
9,32446.0
10,33629.0
11,40766.3
12,32479.2
13,31736.8
14,36531.3
15,34113.7
16,35133.1
17,38338.2
18,39278.4
19,39491.9
20,39925.5
21,43420.3
22,44849.4
23,57204.0
24,45433.6
25,44592.1
26,51065.7
27,49621.4
28,50778.3
29,54413.4
30,55044.5
31,59672.1
32,57885.3
33,66325.6
34,67943.7
35,83524.6
36,70145.0
37,72494.4
38,85778.0
39,75009.6
40,78594.5
41,78232.9
43,80412.0
44,77055.8
45,89224.3
46,200.5
47,115806.1
48,98007.6
49,92954.2
50,107225.9
51,106870.2
52,110604.7
53,116287.9
54,125658.6
55,124840.3
56,123002.3
57,140487.5
58,141702.0
59,183983.2
60,154517.1
61,152202.6
62,16.5
63,177148.1
64,179639.2
